Type de joueurs,Acuité viseul en décimal,1 Exp,2 Exp,3 Exp,4 Exp
Gamers,"1,109262341","1,167262341","1,181262341","1,221262341","1,183262341"
Non-gamers,"1,015744033","0,9787440325","1,024744033","1,049744033","1,078744033"
